,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75
0,1.3230324832343,0.56369553948105,0.291801003171522,0.175606907513332,0.244706407233471,0.442307952115635,0.742980082343001,0.752345670525179,0.489539674047473,0.228863087073346,0.252979756500437,0.191158157599365,0.119824711559517,0.096381987060268,0.06067197350062,0.035337029721536
5,0.459087312801246,4.54300386467549,0.877307820365235,0.238427739359518,0.14128273793428,0.342119119683935,0.639644981556355,0.782649778731053,0.806303764819813,0.326461007156127,0.211529373803156,0.156321272692618,0.112607994981566,0.082912875818099,0.041311538605012,0.033667294477837
10,0.228132509051719,1.71491608836173,9.38216923951536,0.912179193241101,0.302667514142626,0.282781998511297,0.462413603177505,0.792960489081136,1.138708451872,0.624515899564066,0.374398564236593,0.166009270606738,0.084207670639125,0.084680514903185,0.071153631761665,0.058166341625116
15,0.122369355192583,0.344540481538483,3.39706608587293,12.4682565430452,1.36328859983109,0.669843586137772,0.569259616818399,0.790472314571896,1.08951483114606,1.14406565694888,0.651243910929337,0.23355755188548,0.089081777074384,0.05838955026758,0.036845045092198,0.028763317743332
20,0.171086805024221,0.179695251991224,0.273864443554226,2.32437870388509,3.90862441247576,1.61793472349438,1.12382537858457,1.00533479702751,0.911625631336935,1.17257578184051,0.868334440819124,0.455515841834731,0.145407157374643,0.048410156174706,0.056457541401123,0.045929334078633
25,0.426889535844379,0.270873592986368,0.161789612981883,0.781328085099711,1.89599023785981,3.32403607104375,1.75461478888904,1.34095161189483,1.16769157934241,0.998144969101415,1.04187586234193,0.615780759394663,0.240498329597609,0.067421824171104,0.033626062700437,0.030056264563691
30,0.701105133416554,0.933608859831675,0.682919033970458,0.500977004099078,0.990286129609899,1.70533297195916,3.14814314718033,1.90948505775947,1.45567876593226,1.08586976277173,0.915437664332205,0.661406484152684,0.335853655456627,0.12045530339844,0.063928162535372,0.055932537040189
35,0.714015089369084,1.11095135816461,0.905034867436969,0.646518413158845,0.703773563454301,1.30211635808532,1.7907254925853,3.19006746738986,2.12012917719965,1.29877631273796,0.94286476980713,0.526217937547525,0.315224976693849,0.184365186247578,0.107725310299799,0.042472412102869
40,0.418023791451105,0.910992888890953,1.15699374313817,1.28380775341529,0.896998028333046,1.17350607603331,1.62708742838233,1.93466492388243,3.13182818519332,1.67809389356385,1.18949174205802,0.451159665327788,0.267912210326776,0.144104167266153,0.105620374193649,0.050996733629697
45,0.217780885285808,0.596223132746838,0.760983628500194,1.78390866236156,0.915282948944135,0.956550354413945,1.2165229953862,1.42876825363215,1.60419251673105,2.2742811524272,1.22264029232565,0.545587180468708,0.209968945120992,0.09702623843442,0.092899378905105,0.093471939206291
50,0.247557379318002,0.700464514613266,1.1769757206144,1.6336703576263,1.16681061009507,1.37564671172716,1.26164441900741,1.26289660645902,1.73526604436126,1.90536694461139,2.24647972076649,0.984654610790428,0.340694650903812,0.137701990217259,0.103826277589686,0.109458028676012
55,0.388315869168174,0.704064095673078,0.688251000504149,0.957080096959603,0.75461169199885,1.24786925880147,1.35908100053379,1.06659694848497,1.24881214732881,1.04265864065826,1.3082416513131,1.64302321787949,0.526079945690212,0.215498774301145,0.108831390517441,0.088713402299037
60,0.329642110120991,0.343292055419707,0.254403865601982,0.454260227571166,0.407490281077773,0.649905015748813,0.856861766422954,0.8954594847539,0.763679944086389,0.646419114136058,0.609604964116834,0.710306695647592,0.924386969432216,0.321478091485737,0.183952007211014,0.073720077356845
65,0.223830014199532,0.354043898856507,0.292672730908842,0.174501580097727,0.231603201604552,0.339895266491829,0.597076432070629,0.582403026376304,0.547816155738416,0.327042966597575,0.369048641564505,0.432672018935099,0.406193952403425,0.812450984725511,0.217905659401838,0.092220869739215
70,0.112734250278951,0.319165080822187,0.34520577234466,0.344678995233402,0.164720100787354,0.281252428415072,0.327436920625475,0.532753948518578,0.662712003328236,0.48145756441678,0.402211638497922,0.316662915403059,0.487416061075724,0.482399750921388,0.767796085666021,0.228812910220526
75,0.201572188457197,0.262510170805875,0.39158813364827,0.328745394976342,0.131147543806114,0.156866427917563,0.281355326573622,0.339412717452921,0.393401809571931,0.462530030319271,0.456537279113559,0.267138595842512,0.176462657596535,0.239787870207687,0.224021851944857,0.369967522761527
