age_group,cases,deaths,source
0,318,0,https://www.epicentro.iss.it/coronavirus/bollettino/Bollettino-sorveglianza-integrata-COVID-19_23-marzo%202020.pdf
10,386,0,
20,1292,0,
30,3995,12,
40,7267,41,
50,11280,168,
60,10423,541,
70,11320,1768,
80,10514,2488,
