Bar0,66.11258083
Bar1,66.11258083
Bar2,66.11258083
Bar3,89.07701352
Bar4,127.351068
Bar5,127.351068
Bar6,146.4880952
Bar7,188.5895552
Bar8,303.4117186
Bar9,219.2087987
Bar10,567.5026945
Bar11,674.670047
Bar12,682.3248579
Bar13,758.8729669
Bar14,1038.273565
Bar15,1275.572702
Bar16,1405.704488
Bar17,1757.825789
Bar18,2684.057907
Bar19,3606.46262
Bar20,3663.873702
Bar21,4582.451009
Bar22,5830.185185
Bar23,5393.860964
Bar24,5711.535616
Bar25,7231.015579
Bar26,6396.641191
Bar27,6212.92573
Bar28,5922.042916
Bar29,7024.335685
Bar30,5034.084852
Bar31,4773.821282
Bar32,6155.514648
Bar33,4743.202038
Bar34,4544.176955
Bar35,4119.33495
Bar36,3847.589163
Bar37,3250.513913
Bar38,2806.534881
Bar39,3457.193808
Bar40,2630.474231
Bar41,3074.453263
Bar42,2331.936606
Bar43,2400.829904
Bar44,1834.373898
Bar45,1773.135411
Bar46,1903.267196
Bar47,1623.866598
Bar48,1570.282922
Bar49,1443.978542
Bar50,1244.953459
Bar51,800.9744268
Bar52,770.3551832
Bar53,908.1417793
Bar54,556.0204782
Bar55,479.4723692
Bar56,318.7213404
Bar57,280.4472859
Bar58,242.1732314
Bar59,188.5895552
Bar60,188.5895552
Bar61,150.3155007
Bar62,104.3866353
Bar63,81.42220263
Bar64,58.45776994
