age;number;timestamp
<5;78;2020-04-25T17:59:59
5-14;335;2020-04-25T17:59:59
15-24;1404;2020-04-25T17:59:59
25-34;2085;2020-04-25T17:59:59
35-44;2099;2020-04-25T17:59:59
45-54;3147;2020-04-25T17:59:59
55-64;2527;2020-04-25T17:59:59
65-74;1347;2020-04-25T17:59:59
75-84;1282;2020-04-25T17:59:59
>84;825;2020-04-25T17:59:59
